suburb,MODE,stop_count,School_Type,school_count,region,Housing_Type,timestamp,Latest_Median,Forecasted_Next_Quarter
Abbeyard,,,,,,,,,
Abbotsford,METRO BUS,12.0,Pri/Sec,1.0,,,,,
Abbotsford,METRO BUS,12.0,Primary,1.0,,,,,
Abbotsford,METRO TRAIN,18.0,Pri/Sec,1.0,,,,,
Abbotsford,METRO TRAIN,18.0,Primary,1.0,,,,,
Abbotsford,METRO TRAM,6.0,Pri/Sec,1.0,,,,,
Abbotsford,METRO TRAM,6.0,Primary,1.0,,,,,
Aberfeldie,METRO BUS,15.0,Primary,2.0,,,,,
Aberfeldie,METRO BUS,15.0,Secondary,1.0,,,,,
Aberfeldy,,,,,,,,,
Acheron,METRO BUS,1.0,,,,,,,
Ada,,,,,,,,,
Adams Estate,,,,,,,,,
Addington,,,,,,,,,
Adelaide Lead,,,,,,,,,
Agnes,,,,,,,,,
Aintree,METRO BUS,18.0,Primary,1.0,,,,,
Aintree,METRO BUS,18.0,Secondary,1.0,,,,,
Aintree,METRO BUS,18.0,Special,1.0,,,,,
Aire Valley,,,,,,,,,
Aireys Inlet,REGIONAL COACH,2.0,Primary,1.0,,,,,
Airly,,,Primary,1.0,,,,,
Airport West,METRO BUS,28.0,Primary,2.0,,,,,
Airport West,METRO TRAM,6.0,Primary,2.0,,,,,
Albacutya,,,,,,,,,
Albanvale,METRO BUS,16.0,Primary,1.0,,,,,
Albert Park,METRO BUS,5.0,Primary,2.0,,,,,
Albert Park,METRO BUS,5.0,Secondary,1.0,,,,,
Albert Park,METRO TRAM,17.0,Primary,2.0,,,,,
Albert Park,METRO TRAM,17.0,Secondary,1.0,,,,,
Alberton,REGIONAL COACH,1.0,Primary,1.0,,,,,
Alberton West,,,,,,,,,
Albion,METRO BUS,15.0,Primary,2.0,,,,,
Albion,METRO TRAIN,2.0,Primary,2.0,,,,,
Alexandra,METRO BUS,1.0,Primary,2.0,,,,,
Alexandra,METRO BUS,1.0,Secondary,1.0,,,,,
Alexandra,REGIONAL BUS,2.0,Primary,2.0,,,,,
Alexandra,REGIONAL BUS,2.0,Secondary,1.0,,,,,
Alexandra,REGIONAL COACH,1.0,Primary,2.0,,,,,
Alexandra,REGIONAL COACH,1.0,Secondary,1.0,,,,,
Alfredton,REGIONAL BUS,30.0,Primary,2.0,,,,,
Allambee,,,,,,,,,
Allambee Reserve,,,,,,,,,
Allambee South,,,,,,,,,
Allans Flat,,,,,,,,,
Allansford,,,Primary,1.0,,,,,
Allendale,REGIONAL COACH,1.0,,,,,,,
Allestree,,,,,,,,,
Alma,,,,,,,,,
Almonds,,,,,,,,,
Almurta,,,,,,,,,
Alphington,METRO BUS,24.0,Pri/Sec,1.0,,,,,
Alphington,METRO BUS,24.0,Primary,2.0,,,,,
Alphington,METRO TRAIN,3.0,Pri/Sec,1.0,,,,,
Alphington,METRO TRAIN,3.0,Primary,2.0,,,,,
Altona,METRO BUS,45.0,Pri/Sec,1.0,Outer Western Melbourne,1 bedroom flat,2025-03-01,360.0,365.0
Altona,METRO BUS,45.0,Pri/Sec,1.0,Outer Western Melbourne,2 bedroom flat,2025-03-01,470.0,472.0
Altona,METRO BUS,45.0,Pri/Sec,1.0,Outer Western Melbourne,2 bedroom house,2025-03-01,480.0,490.0
Altona,METRO BUS,45.0,Pri/Sec,1.0,Outer Western Melbourne,3 bedroom flat,2025-03-01,550.0,575.0
Altona,METRO BUS,45.0,Pri/Sec,1.0,Outer Western Melbourne,3 bedroom house,2025-03-01,525.0,549.0
Altona,METRO BUS,45.0,Pri/Sec,1.0,Outer Western Melbourne,4 bedroom house,2025-03-01,585.0,658.0
Altona,METRO BUS,45.0,Pri/Sec,1.0,Outer Western Melbourne,All properties,2025-03-01,550.0,530.0
Altona,METRO BUS,45.0,Primary,2.0,Outer Western Melbourne,1 bedroom flat,2025-03-01,360.0,365.0
Altona,METRO BUS,45.0,Primary,2.0,Outer Western Melbourne,2 bedroom flat,2025-03-01,470.0,472.0
Altona,METRO BUS,45.0,Primary,2.0,Outer Western Melbourne,2 bedroom house,2025-03-01,480.0,490.0
Altona,METRO BUS,45.0,Primary,2.0,Outer Western Melbourne,3 bedroom flat,2025-03-01,550.0,575.0
Altona,METRO BUS,45.0,Primary,2.0,Outer Western Melbourne,3 bedroom house,2025-03-01,525.0,549.0
Altona,METRO BUS,45.0,Primary,2.0,Outer Western Melbourne,4 bedroom house,2025-03-01,585.0,658.0
Altona,METRO BUS,45.0,Primary,2.0,Outer Western Melbourne,All properties,2025-03-01,550.0,530.0
Altona,METRO BUS,45.0,Secondary,1.0,Outer Western Melbourne,1 bedroom flat,2025-03-01,360.0,365.0
Altona,METRO BUS,45.0,Secondary,1.0,Outer Western Melbourne,2 bedroom flat,2025-03-01,470.0,472.0
Altona,METRO BUS,45.0,Secondary,1.0,Outer Western Melbourne,2 bedroom house,2025-03-01,480.0,490.0
Altona,METRO BUS,45.0,Secondary,1.0,Outer Western Melbourne,3 bedroom flat,2025-03-01,550.0,575.0
Altona,METRO BUS,45.0,Secondary,1.0,Outer Western Melbourne,3 bedroom house,2025-03-01,525.0,549.0
Altona,METRO BUS,45.0,Secondary,1.0,Outer Western Melbourne,4 bedroom house,2025-03-01,585.0,658.0
Altona,METRO BUS,45.0,Secondary,1.0,Outer Western Melbourne,All properties,2025-03-01,550.0,530.0
Altona,METRO TRAIN,6.0,Pri/Sec,1.0,Outer Western Melbourne,1 bedroom flat,2025-03-01,360.0,365.0
Altona,METRO TRAIN,6.0,Pri/Sec,1.0,Outer Western Melbourne,2 bedroom flat,2025-03-01,470.0,472.0
Altona,METRO TRAIN,6.0,Pri/Sec,1.0,Outer Western Melbourne,2 bedroom house,2025-03-01,480.0,490.0
Altona,METRO TRAIN,6.0,Pri/Sec,1.0,Outer Western Melbourne,3 bedroom flat,2025-03-01,550.0,575.0
Altona,METRO TRAIN,6.0,Pri/Sec,1.0,Outer Western Melbourne,3 bedroom house,2025-03-01,525.0,549.0
Altona,METRO TRAIN,6.0,Pri/Sec,1.0,Outer Western Melbourne,4 bedroom house,2025-03-01,585.0,658.0
Altona,METRO TRAIN,6.0,Pri/Sec,1.0,Outer Western Melbourne,All properties,2025-03-01,550.0,530.0
Altona,METRO TRAIN,6.0,Primary,2.0,Outer Western Melbourne,1 bedroom flat,2025-03-01,360.0,365.0
Altona,METRO TRAIN,6.0,Primary,2.0,Outer Western Melbourne,2 bedroom flat,2025-03-01,470.0,472.0
Altona,METRO TRAIN,6.0,Primary,2.0,Outer Western Melbourne,2 bedroom house,2025-03-01,480.0,490.0
Altona,METRO TRAIN,6.0,Primary,2.0,Outer Western Melbourne,3 bedroom flat,2025-03-01,550.0,575.0
Altona,METRO TRAIN,6.0,Primary,2.0,Outer Western Melbourne,3 bedroom house,2025-03-01,525.0,549.0
Altona,METRO TRAIN,6.0,Primary,2.0,Outer Western Melbourne,4 bedroom house,2025-03-01,585.0,658.0
Altona,METRO TRAIN,6.0,Primary,2.0,Outer Western Melbourne,All properties,2025-03-01,550.0,530.0
Altona,METRO TRAIN,6.0,Secondary,1.0,Outer Western Melbourne,1 bedroom flat,2025-03-01,360.0,365.0
Altona,METRO TRAIN,6.0,Secondary,1.0,Outer Western Melbourne,2 bedroom flat,2025-03-01,470.0,472.0
Altona,METRO TRAIN,6.0,Secondary,1.0,Outer Western Melbourne,2 bedroom house,2025-03-01,480.0,490.0
Altona,METRO TRAIN,6.0,Secondary,1.0,Outer Western Melbourne,3 bedroom flat,2025-03-01,550.0,575.0
Altona,METRO TRAIN,6.0,Secondary,1.0,Outer Western Melbourne,3 bedroom house,2025-03-01,525.0,549.0
Altona,METRO TRAIN,6.0,Secondary,1.0,Outer Western Melbourne,4 bedroom house,2025-03-01,585.0,658.0
Altona,METRO TRAIN,6.0,Secondary,1.0,Outer Western Melbourne,All properties,2025-03-01,550.0,530.0
Altona Meadows,METRO BUS,31.0,Primary,3.0,,,,,
Altona North,METRO BUS,72.0,Primary,2.0,,,,,
Altona North,METRO BUS,72.0,Secondary,1.0,,,,,
Alvie,REGIONAL BUS,1.0,Primary,1.0,,,,,
Amherst,,,,,,,,,
Amor,,,,,,,,,
