Charity_Legal_Name,Charity_Website,Town_City,State,Advancing_Education,Promoting_or_protecting_human_rights,Advancing_social_or_public_welfare,Children,Families,Females,Financially_Disadvantaged,Males,People_at_risk_of_homelessness,email,contact
Iscast Ltd,http://iscast.org,Forest Hill,Victoria,Y,,,Y,,,,,,Contact@iscast.org,431330380
Austin Medical Research Foundation,http://www.austinmrf.org.au,Heidelberg,Victoria,,,,,,,,,,austinMRF@austin.org.au,394963410
Braemar College Limited,www.braemar.vic.edu.au,Woodend,VIC,Y,,,Y,,,,,,b.sims@braemar.vic.edu.au,
Odyssey House Victoria,www.odyssey.org.au/,Richmond,Victoria,,,,,Y,,,,,odyssey@odyssey.org.au,(03) 9420 7600
Alphington Grammar School,www.alphington.vic.edu.au,Alphington,VIC,Y,,,Y,Y,Y,,Y,,info@ags.vic.edu.au,03 9497 4777
Victorian Brumby Association Inc,www.victorianbrumbyassociation.org,Glenlogie,Victoria,,,,,,,,,,info@victorianbrumbyassociation.org,408201107
Denzil Don Kindergarten Inc,,Brunswick West,Victoria,Y,,,,,,,,,helen@a-s-k.com.au,
The Trustee For The Foundation For Imaging Research,,Docklands,VIC,,,,,,,,,,admin@brain.or.au,
Mitchell House Inc,,Morwell,Victoria,,,,,Y,Y,,Y,,info@respect.com.au,
The Trustee For Brand Foundation,,,,,,,Y,,,,,,dtrickett@poolegroup.com.au,03 93285300
Community Housing Limited,www.chl.org.au,Box Hill,VIC,,,,,,,,,,,
The Trustee For Community Foundation For Albury Wodonga Region,www.bordertrust.org.au,Albury,NSW,,,,Y,Y,,,,,mail@bordertrust.org.au,0260513 349
Dolphin Common Equity Rental Housing Co-Operative Ltd,,Frankston,VIC,,,,,,,,,,dophincerc@gmail.com,
Little Company Of Mary Health Care Limited,www.calvarycare.org.au,Sydney,NSW,,,,,,,,,,,
Volunteer Fire Brigades Victoria Inc,www.vfbv.com.au,Burwood East,Victoria,,,,,,,,,,c.smith@vfbv.com.au,398861141
Friends Of The Helmeted Honeyeater Inc,https://www.helmetedhoneyeater.org.au,Woori Yallock,Victoria,,,,Y,Y,,,,,secretary@helmetedhoneyeater.org.au,(03) 5964 8341
Nyahwest Uniting Church Council,,Vinifera,VIC,,,,,,,Y,,,,
Musicals Australia Ltd,www.musicalsaustralia.com,Caulfield North,Victoria,,,,,,Y,,Y,,hensach@gmail.com,
Seventh-Day Adventist Schools (Victoria) Limited,,Wahroonga,NSW,Y,,,Y,,,,,,johnstilinovic@adventist.org.au,
Aged Care Services 26 (Bayview) Pty Ltd,https://japara.com.au/,Sydney,New South Wales,,,Y,,,,Y,,,,
Nafsika Stamoulis Hellenic Museum Limited,www.hellenic.org.au,Melbourne,Victoria,,,,,,,,,,ceo@hellenic.org.au,
Doxa Community Club Incorporated,https://www.doxaclub.com.au,West Melbourne,VIC,,,Y,,,,,,,info@doxaclub.com.au,03 9046 8230
Mas National Limited,www.masnational.com.au,Northcote,VIC,Y,,,,,,,,,info@masnational.com.au,
St Stephens Anglican Church Greythorn,www.ststeves.org.au,Balwyn North,Victoria,,,,Y,Y,Y,,Y,,office@ststeves.org.au,398577439
Bundoora Extended Care Centre Preston Auxiliary,nh.org.au,Preston,Victoria,,,,,,,,,,bnmcgrillen1@bigpond.com,
Short Black Opera Company Pty Ltd,www.shortblackopera.org.au,Melbourne,Victoria,,,,Y,,,,,,shortblackopera@me.com,395212224
Plumbing Industry Climate Action Centre (Picac) Ltd,,,,Y,,,,,,,,,shayne@picac.vic.edu.au,
Outer Urban Projects Limited,https://www.outerurbanprojects.org,Coburg North,Victoria,,,,,Y,Y,Y,Y,Y,info@outerurbanprojects.org,03 9650 2521
Baptist Church Altona,www.altonabaptist.org.au,Altona,VIC,,,,Y,Y,Y,Y,Y,Y,altonabaptist@gmail.com,
The Legacy Foundation Of Victoria Inc,,,,,,,Y,,Y,Y,Y,,lennonjg@bigpond.com,
Mallacoota Rsl Sub-Branch Patriotic Fund,,Melbourne,VIC,,,Y,,,,,,,charity@rslvic.com.au,
The Centre For Mental Health Education And Research Ltd,www.delmonthospital.com.au,Glen Iris,Victoria,,,,,,,,,,pselar@delmonthospital.com.au,03 9805 7389
Olivia Newton-John Cancer Research Institute,www.onjcri.org.au,Heidelberg,VIC,,,,,,,,,,enquiries@onjcri.org.au,
Frankston Christian Community Centre Inc,www.connectchristian.church,Frankston South,Victoria,,,,Y,,,,,,yvette@connectcc.com.au,
Fearless Futures Inc,,Gladstone,QLD,Y,,,Y,,,,,,,
Queenscliffe Maritime Museum Inc,www.maritimequeenscliffe.org.au,Queenscliff,Victoria,Y,,,,Y,Y,,Y,,info@maritimequeenscliffe.org.au,03 52583440
Hanmaum Korean Presbyterian Church Inc,,Canterbury,Victoria,,,,,,,,,,ej072573@hotmail.com,72573
Association Of The Franciscan Ofm Slovene Mission,,Kew,Vic,,,,,Y,,,,,slomission.melbourne@gmail.com,398537787
The Trustee For Documentary Australia,www.documentaryaustralia.com.au,Paddington,New South Wales,,Y,Y,,,Y,Y,Y,,finance@documentaryaustralia.com.au,293971439
Taiwan Film Festival Incorporated,https://www.taiwanfilmfestival.org.au,Rockdale,New South Wales,,,,,Y,Y,,Y,,benson.wu@taiwanfilmfestival.org.au,420647631
Shalom Media Australia Limited,www.shalomworld.org,Toongabbie,New South Wales,,,Y,Y,Y,Y,Y,Y,Y,jube_kunnel@hotmail.com,470422892
Inglewood-Bridgewater Rsl Sub-Branch Patriotic Fund,,Melbourne,VIC,,,,,,,,,,charity@rslvic.com.au,
Whitehorse Emergency Relief And Support Inc.,http://www.boxhillcis.org.au,Box Hill,Victoria,,,,,,,Y,,Y,manager@boxhillcis.org.au,
University Of Melbourne Graduate Student Association Inc,https://gsa.unimelb.edu.au/,Parkville,VIC,Y,,,,,Y,Y,,Y,info@gsa.unimelb.edu.au,(03)83448657
Newhope Baptist Pre-School Inc,https://www.newhopepreschool.net/,Blackburn North,VIC,Y,,,,Y,,,,,preschool@newhope.net.au,
Agucon Not-For-Profit Charity Organisation Incorporated,https://www.aguconorg.com,Werribee,Victoria,,,Y,Y,Y,Y,,Y,Y,agucon19@gmail.com,423515944
The Dodge Family Foundation,,South Yarra,Victoria,,,,,Y,,Y,,,marty@pointpropertygroup.com.au,
Melbourne Tram Museum Inc.,www.trammuseum.org.au,Hawthorn,Victoria,,,,Y,,,,,,info@trammuseum.org.au,
St Kilda Mums,https://www.stkildamums.org,Clayton,Victoria,,,Y,Y,Y,,,,,info@stkildamums.org,
Nagambie Rsl Sub-Branch,http://www.rslvic.com.au/rsl-network/victorian-map-of-all-branches/nagambie/,Nagambie,Victoria,,,,,,,,,,amieu.michael@gmail.com,
Sjd Foundation Ballarat Inc,www.sjdfoundationballarat.com,,,,,Y,Y,Y,Y,,Y,,bdorney@outlook.com,
Victoria'S Heritage Restoration Fund Inc,www.vhrf.com.au,East Melbourne,VIC,,,,,,,,,,tony.armstrong@nattrust.com.au,03 9656 9800
Indonesian Christian Family Church,www.ensamplechurch.org,Albert Park,VIC,,,,Y,Y,Y,,Y,,info@gkki.org,435724289
The Trustee For The Thomas Memorial Fund,,Melbourne,VIC,,,,,,,,,,charitableadmin@eqt.com.au,
Halt (Hope Assistance Local Tradies),www.halt.org.au,Castlemaine,VIC,Y,,,,Y,Y,,Y,,haltaustralia@gmail.com,409756274
The Gwen & Edna Jones Foundation,,Warrnambool,VIC,,,,,,,,,,slafferty@mhfg.com.au,
Uca - Winchelsea,,Winchelsea,Victoria,,,,,Y,Y,,Y,,uca.winchelsea@gmail.com,
Harrietville Television Committee Inc,,Harrietville,Victoria,,,,,Y,,,,,John.downey4@gmail.com,
Community Information & Support Victoria Inc,www.cisvic.org.au,Melbourne,Victoria,,,Y,,Y,,Y,,,kate@cisvic.org.au,03 9672 2000
Oakleigh Church Of Christ,http://oakleighchurch.org.au,Hughesdale,Victoria,,,,,Y,Y,,Y,,oakleighcocsec@outlook.com,
South Melbourne Life Saving Club Inc,https://www.southmelbournelsc.com.au,Albert Park,VIC,,,,Y,,Y,Y,Y,,accounts@southmelbournelsc.com.au,
Mustard Leadership Australia Inc,http://www.mustard.org.au,Kew,Victoria,,,,,,,,,,info@mustard.org.au,
Greek Orthooox Archdiocese Ofaustralia Parish Of Coburg And Pascoevale,,Coburg,VIC,,,,,,,,,,chancellor@greekorthodox.org.au,
St Marys Catholic Church,https://www.stmarysmtevelyn.org.au,Mount Evelyn,VIC,,,,Y,Y,Y,Y,Y,Y,Altona@cam.org.au,393982964
Vof Charity Incorporated,,Frankston,Victoria,,,Y,,,Y,Y,Y,Y,Voicesoffrankstonchoir@gmail.com,402019101
Hope Christian Church Melbourne Inc,www.hopemelbourne.com,Notting Hill,Victoria,,,,Y,Y,Y,,Y,,info@hopemelbourne.com,432037850
Gr8Motive Aboriginal And Torres Strait Islander Corporation,https://www.gr8motive.org.au/,Woree,QLD,,,Y,,,,,,,chris@gr8motive.org.au,459060013
Montmorency Community Church,www.montycc.org,Montmorency,Victoria,,,,,Y,,,,,admin@montycc.org,
The Game Face Game Changer Incorporated,http://gamefaceon.com.au/game-changer/,,,Y,,,Y,Y,Y,Y,Y,Y,emily@gameface.cc,419117307
Tian Ci Xiang Zhen Holy Dao Association Inc,,,,,,,,,,,,,olina.sun@yahoo.com.au,
The Parish Of St John The Evangelist Epping,www.epping.melbourneanglican.org.au,,,,,,,,,,,,eppinganglican@bigpond.com,
Mentone Rsl Sub-Branch Patriotic Fund,,Melbourne,VIC,,,Y,,,,,,,charity@rslvic.com.au,
Bendigo Diocesan Trusts Corporation,www.bendigoanglican.org.au,Bendigo,VIC,,,,,,,,,,reception@bendigoanglican.org.au,
Keeping Charlotte'S Promise Wildlife Shelter Incorporated,https://www.kcpwildlifeshelter.org.au,Langwarrin,Victoria,,,,,,Y,,Y,,Kcpwildlifeshelter@gmail.com,404039218
The Every Life Matters (Elm) Network,https://www.cch.org.au/elm/,Castlemaine,Victoria,,,,Y,Y,Y,Y,Y,Y,theelmpsg@gmail.com,478816558
St Finbar'S Catholic Church Brighton East,http://pol.org.au/brightoneast,East Brighton,VIC,,,,Y,Y,Y,Y,Y,Y,BrightonEast@cam.org.au,
Farm Road Pre School Inc,www.farmroadpreschool.com.au,Cheltenham,Victoria,Y,,,,Y,,,,,admin.farm.rd.kin@kindergarten.vic.gov.au,
Hardware Foundation,hardwarefoundation.org.au,Balwyn,Victoria,Y,,Y,Y,Y,Y,Y,Y,Y,sunnione@bigpond.net.au,398168174
Northern District Community Health,http://www.ndch.org.au,Kerang,VIC,,,Y,Y,Y,Y,Y,Y,Y,charity@ndch.org.au,354510200
Broadford Presbyterian Church,https://www.broadfordpc.org.au,Broadford,VIC,,,,Y,Y,Y,,Y,,barnettr55@gmail.com,
The Trustee For Coopersmith Family Foundation,,,,,,,,,,,,,,
Camberwell Baptist Church Kindergarten,,Hawthorn East,Victoria,Y,,,,,,,,,margaretsutcliffe@gmail.com,(03) 98826880
Iglesia De La Profecia Nueva Rosa De Saron Inc,,Sunshine North,VIC,,,,,,,,,,gmarroquin@Iglesianuevarosadesaron.com.au,402624043
The Mill Incorporated,www.themilladelaide.com,Adelaide,South Australia,,,,Y,,Y,Y,Y,,info@themilladelaide.com,406991330
"""Lucky Stars Australia"" Transplant Cricket Inc.",,,,,,,,,,,,,transplantcricketlsa@gmail.com,
International Full Gospel Fellowship Gereja Injil Seutuh International Victoria Inc,https://ifgfmelbourne.company.site,Collingwood,Victoria,,,,Y,Y,Y,,Y,,pastorari@yahoo.com,61392128351
North West Multiple Birth Club Inc,http://www.nwmbc.org.au,,,Y,,,,Y,Y,,,,info@nwmbc.org.au,
